directors,Number of Records
Kate Melville,1
Kate Mulleavy,1
Katherine Brooks,1
Katherine Dieckmann,1
Katherine Fairfax Wright,1
Kathleen Hepburn,1
Kathryn Bigelow,1
Katia Lund,1
Katleho Ramaphakela,1
Katy Chevigny,1
Kavi Raz,1
Kayoze Irani,1
Kazuaki Kiriya,1
Kazuchika Kise,1
Kazuchika Kise,1
Kazuchika Kise,1
Kazumi Fukushima,1
Kazuya Murata,1
Kazuya Tsurumaki,1
Keanu Reeves,1
Kedar Shinde,1
Kedar Shinde,1
Keegan Kuhn,1
Keegan Kuhn,1
Keenen Ivory Wayans,1
Keerthi,1
Kees Van Oostrum,1
Keiichi Hara,1
Keiko Yagi,1
Keith Fulton,1
Keith L. Smith,1
Keith Malloy,1
Keith Scholey,1
Keith Scholey,1
Kelly Duane de la Vega,1
Kelly Noonan,1
Kelly Reichardt,1
Kemi Adetiba,1
Ken Barbet,1
Ken Burns,1
Ken Burns,1
Ken Burns,1
Ken Burns,1
Ken Burns,1
Ken Cunningham,1
Ken Ghosh,1
Ken Ghosh,1
Ken Ghosh,1
Ken Hughes,1
Ken Kushner,1
Ken Kwapis,1
Ken Loach,1
Ken Marino,1
Kenneth Gyang,1
Kenneth Müller,1
Kenny Leon,1
Kenny Ortega,1
Kenny Young,1
Kenny Young,1
Kenzo Maihara,1
Keoni Waxman,1
Keoni Waxman,1
Kepa Sojo,1
Kery James,1
Ketan Mehta,1
Ketan Mehta,1
Ketan Mehta,1
Kevan Peterson,1
Kevin Booth,1
Kevin Bray,1
Kevin Derek,1
Kevin Deters,1
Kevin Donovan,1
Kevin Ford,1
Kevin Hooks,1
Kevin Ko,1
Kevin Kolsch,1
Kevin Layne,1
Kevin Layne,1
Kevin Lima,1
Kevin MacDonald,1
Kevin MacDonald,1
Kevin Munroe,1
Kevin Munroe,1
Kevin Pang,1
Kevin Peaty,1
Kevin Peeples,1
Kevin Phillips,1
Kevin Pollak,1
Kevin R. Adams,1
Kevin Reynolds,1
Kevin Smith,1
Kevin Smith,1
Kevin Smith,1
Kevin Smith,1
Kevin Smith,1
Kevin Wotton,1
Khaled El Halafawy,1
Khaled El Halafawy,1
Khaled Marei,1
Khaled Marei,1
Khaled Marei,1
Khaled Marei,1
Khaled Marei,1
Khaled Youssef,1
Khalid Kashogi,1
Khalid Mohamed,1
Kheiron,1
Kief Davidson,1
Kief Davidson,1
Kief Davidson,1
Kieran Darcy-Smith,1
Kike Maíllo,1
Kiki Goshay,1
Kiko Cruz Claverol,1
Kiko Mistrorigo,1
Kim A. Snyder,1
Kim A. Snyder,1
Kim Dong-kyu,1
Kim Jee-woon,1
Kim Jong-kwan,1
Kim Joo-hyung,1
Kim Nguyen,1
Kim Nguyen,1
Kim Nguyen,1
Kim Seong-hun,1
Kim Sung-hoon,1
Kimo Stamboel,1
Kip Andersen,1
Kip Andersen,1
Kiran Narayanan,1
Kirati Nakintanon,1
Kirby Dick,1
Kireet Khurana,1
Kirk De Micco,1
Kirk Wise,1
Kirk Wolfinger,1
Kitaro Kosaka,1
Kittiphak Thonguam,1
Kitty Green,1
Klaus Erik Okstad,1
Kobun Shizuno,1
Kobun Shizuno,1
Kobun Shizuno,1
Koichi Mashimo,1
Koichi Sakamoto,1
Koji Morimoto,1
Koji Sawai,1
Kookie V. Gulati,1
Kranthi Madhav,1
Kranti Kanade,1
Kranti Redkar,1
Kris Pearn,1
Kris Pearn,1
Krish,1
Krishna Agazzi,1
Krishna D.K.,1
Krishna Vamshi,1
Krishnendu Chattopadhyay,1
Kristian Levring,1
Kristian Mercado,1
Kristian Mercado,1
Kristin Hanggi,1
Kristina Goolsby,1
Kristine Samuelson,1
Krysia Plonka,1
Krzysztof Zanussi,1
Ksshitij Chaudhary,1
Ksshitij Chaudhary,1
Kubhaer T. Jethwani,1
Kubilay Sarikaya,1
Kumaran,1
Kunal Deshmukh,1
Kunal Kohli,1
Kunal Kohli,1
Kundan Shah,1
Kundan Shah,1
Kundan Shah,1
Kundan Shah,1
Kunihiko Yuyama,1
Kunihiko Yuyama,1
Kunle Afolayan,1
Kunle Afolayan,1
Kunle Afolayan,1
Kunle Afolayan,1
Kunle Afolayan,1
Kunle Afolayan,1
Kunle Afolayan,1
Kunle Afolayan,1
Kuntz Agus,1
Kurt Voelker,1
Kurt Wimmer,1
Kushal Srivastava,1
Kwabena Gyansah,1
Kyle Balda,1
Kyle Newacheck,1
Kyle Newacheck,1
Kyle Newman,1
Kyle Patrick Alvarez,1
Kyle Rankin,1
Kyle Rideout,1
Kyoko Miyake,1
Kyran Kelly,1
Kyran Kelly,1
Kyung Ho Lee,1
Kyzza Terrazas,1
Kıvanç Baruönü,1
Kıvanç Baruönü,1
Kıvanç Baruönü,1
L. Frazier,1
LP,1
Lai Chun-yu,1
Lana Wachowski,1
Lana Wachowski,1
Lana Wachowski,1
Lana Wachowski,1
Lana Wachowski,1
Lana Wilson,1
Lance Bangs,1
Lance Bangs,1
Lance Bangs,1
Lance Bangs,1
Lance Bangs,1
Lance Bangs,1
Lance Bangs,1
Lance Bangs,1
Lance Daly,1
Larry Elikann,1
Larry Latham,1
Larry Latham,1
Lars Büchel,1
Lars Kaalund,1
Lars Klevberg,1
Lars von Trier,1
Lars von Trier,1
Lasja Fauzia Susatyo,1
Lasse Hallström,1
Lasse Hallström,1
Lasse Hallström,1
Latif Faiziyev,1
Latif Faiziyev,1
Latif Faiziyev,1
Laura Alvea,1
Laura Brownson,1
Laura Mañá,1
Laura Mulleavy,1
Laura Terruso,1
Laura VanZee Taylor,1
Lauren Hoekstra,1
Lauren MacMullan,1
Lauren Miller Rogen,1
Laurent Bouzereau,1
Laurent Cantet,1
Law Wing-cheong,1
Lawrence Cheng,1
Lawrence Kasdan,1
Laxman Utekar,1
Laïla Marrakchi,1
Le Van Kiet,1
Lea Glob,1
Leandro Mark,1
Leanne Gater,1
Lee Chang-dong,1
Lee Chung-hyun,1
Lee Daniels,1
Lee Eung-bok,1
Lee Fulkerson,1
Lee Hirsch,1
Lee Hirsch,1
Lee Jeong-beom,1
Lee Kirk,1
Lee Kyoungmi,1
Lee Seung-won,1
Lee Tamahori,1
Lee Tamahori,1
Lee Tamahori,1
Lee Tamahori,1
Lee Toland Krieger,1
Lee Yoon-jung,1
Leena Yadav,1
Leena Yadav,1
Leena Yadav,1
Leif Tilden,1
Lekh Tandon,1
Lekh Tandon,1
Lekh Tandon,1
Lena Khan,1
Lenin Bharathi,1
Lennart Ruff,1
Lenny Abrahamson,1
Leo Riley,1
Leo Riley,1
Leopoldo Aguilar,1
Les Mayfield,1
Les Mayfield,1
Lesli Linka Glatter,1
Leslie Iwerks,1
Leslie Iwerks,1
Leslie Knott,1
Leslie Small,1
Leslie Small,1
Leslie Small,1
Leslie Small,1
Leslie Small,1
Leslie Small,1
Leslie Small,1
Leslye Davis,1
Leslye Headland,1
Lester Hsi,1
Leticia Jorge Romero,1
Leung Lok Man,1
Lev L. Spiro,1
Levan Gabriadze,1
Levan Tsikurishvili,1
Lewis Milestone,1
Lewis Milestone,1
Leïla Sy,1
Li Jun,1
Li Pei-Chuan,1
Liam Lynch,1
Liam O'Donnell,1
Liao Shih-han,1
Lilibet Foster,1
Lilly Wachowski,1
Lilly Wachowski,1
Lilly Wachowski,1
Lilly Wachowski,1
Lilly Wachowski,1
Limbert Fabian,1
Lin Guan-fu,1
Lin Oeding,1
Linas Phillips,1
Linda Korsten,1
Linda Mendoza,1
Linda Mendoza,1
Linda Mendoza,1
Linda Otto,1
Linda Saffire,1
Lindsey Cordero,1
Lionel C. Martin,1
Lisa Arnold,1
Lisa Cortés,1
Liu Bang-yao,1
Liu Jiang,1
Liu Jie,1
Liu Kuang-hui,1
Liu Yi,1
Liv Ullmann,1
Liz Garbus,1
Liz Garbus,1
Liz Plonka,1
Llewellyn M. Smith,1
Logan Kibens,1
Lone Scherfig,1
Lonny Price,1
Lonzo Nzekwe,1
Lorena Munoz,1
Lorene Machado,1
Lori Kaye,1
Lotje Sodderland,1
Louie Gibson,1
Louie Psihoyos,1
Louis C.K.,1
Louis C.K.,1
Louis C.K.,1
Louis J. Horvitz,1
Louis Leterrier,1
Louis Pepe,1
Louise Alston,1
Louise Wardle,1
Lu Yang,1
Luc Dardenne,1
Luc Vinciguerra,1
Luc Vinciguerra,1
Luca Vullo,1
Lucas Figueroa,1
Lucas Margutti,1
Lucas Margutti,1
Lucas Margutti,1
Lucas Margutti,1
Lucas Santa Ana,1
Luciano Vidigal,1
Lucien Bourjeily,1
Lucien Jean-Baptiste,1
Lucky Kuswandi,1
Lucy Cohen,1
Lucy van Beek,1
Ludovic Bernard,1
Ludovico Di Martino,1
Luis A. Scalella,1
Luis Alberto Restrepo,1
Luis Alfaro,1
Luis Ara,1
Luis Ara,1
Luis Ara,1
Luis Estrada,1
Luis Javier Henaine,1
Luis Javier M. Henaine,1
Luis Lopez,1
Luis Lopez,1
Luis Mandoki,1
Luis Prieto,1
Luis Valdez,1
Luk Kim-ching,1
Lukas Dhont,1
Lukasz Kosmicki,1
Luke Jurevicius,1
Luke Kenny,1
Luke Radford,1
Luke Snellin,1
Luke Sparke,1
Luv Ranjan,1
Luv Ranjan,1
Lydia Tenaglia,1
Lygia Barbosa da Silva,1
Lynn Novick,1
Lynn Novick,1
Lynn Shelton,1
Lynn Shelton,1
Lynn Shelton,1
Lynn Shelton,1
Lyric R. Cabral,1
Lô Politi,1
M. Night Shyamalan,1
M. Night Shyamalan,1
M.J. Bassett,1
M.J. Isakson,1
M.S. Prem Nath,1
Maciej Dejczer,1
Maclain Way,1
Maclain Way,1
Maclain Way,1
Macon Blair,1
Madeleine Gavin,1
Madeleine Parry,1
Madeleine Parry,1
Madeleine Sami,1
Madhumita,1
Madhur Bhandarkar,1
Madhur Bhandarkar,1
Madhur Bhandarkar,1
Madhur Bhandarkar,1
Madhur Bhandarkar,1
Madonna,1
Mads Matthiesen,1
Mae Czarina Cruz,1
Mae Czarina Cruz,1
Mae Czarina Cruz,1
Mae Czarina Cruz,1
Mae Czarina Cruz,1
Mag Hsu,1
Magdy Al-Hawwary,1
Maha Venkatesh,1
Mahesh Bhatt,1
Mahesh Bhatt,1
Mahesh Bhatt,1
Mahesh Manjrekar,1
Mahesh Manjrekar,1
Mahesh Manjrekar,1
Mahesh Manjrekar,1
Mahesh Manjrekar,1
Mahin Ibrahim,1
Mahmood Farooqui,1
Mahmoud Karim,1
Mahmoud Karim,1
Mahmoud Sabbagh,1
Mahmoud al Massad,1
Mahmudul Islam,1
Mahsun Kırmızıgül,1
Majid Al Ansari,1
Majid Majidi,1
Makarand Mane,1
Makarand Mane,1
Makoto Hanafusa,1
Makoto Shinkai,1
Malcolm D. Lee,1
Malik Bendjelloul,1
Malik Nejer,1
Malik Vitthal,1
Mamat Khalid,1
Mamoru Hosoda,1
Mamoru Oshii,1
Mana Yasuda,1
Mana Yasuda,1
Manatsanun Phanlerdwongsakul,1
Manav Shah,1
Manbhavan Singh,1
Mandeep Kumar,1
Mandie Fletcher,1
Mandla Dube,1
Mangesh Hadawale,1
Mangesh Kanthale,1
Mani Ratnam,1
Mani Ratnam,1
Mani Ratnam,1
Manika Sharma,1
Manish Gupta,1
Manish Jha,1
Manish Jha,1
Manish Saini,1
Manish Tiwary,1
Manjeet Maan,1
Manjeet Singh,1
Manmohan Desai,1
Manny Rodriguez,1
Manny Rodriguez,1
Manny Rodriguez,1
Manny Rodriguez,1
Manny Rodriguez,1
Manoj Beedha,1
Manolo Caro,1
Manolo Caro,1
Manop Janjarasskul,1
Mansore,1
Manu Ashokan,1
Manuel Martín Cuenca,1
Manussa Vorasingha,1
Mar Targarona,1
Mar Targarona,1
Maradona Dias Dos Santos,1
Marc Abraham,1
Marc Forster,1
Marc Forster,1
Marc Forster,1
Marc Fouchard,1
Marc Francis,1
Marc Levin,1
Marc Meyers,1
Marc Pons,1
Marc Vigil,1
Marc-Antoine Hélard,1
Marcel Barrena,1
Marcelo Altmark,1
Marcelo Galvão,1
Marcelo Galvão,1
Marcelo González,1
Marco Bonfanti,1
Marco Deufemia,1
Marco Dutra,1
Marco Risi,1
Marco Schnabel,1
Marcos Bucay,1
Marcos Bucay,1
Marcos Carnevale,1
Marcus Nispel,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marcus Raboy,1
Marek Kanievska,1
Marek Losey,1
Marek Piwowski,1
Maria Burton,1
Maria Demeshkina Peek,1
Maria Ripoll,1
Maria Ripoll,1
Maria Ripoll,1
Maria Sadowska,1
Mariah Moore,1
Mariana Tschudi,1
Marianna Palka,1
Mariano Baez,1
Mariano Barroso,1
Mariano Cohn,1
Mariano Cohn,1
Mariano Mucci,1
Marie Madinier,1
Marina Seresesky,1
Marina Willer,1
Marina Zenovich,1
Mario Cambi,1
Mario Mattei,1
Mario Miscione,1
Mario Rouleau,1
Mario Van Peebles,1
Maris Curran,1
Marita Grabiak,1
Marius Arnesen,1
Marja Lewis Ryan,1
Mark A.Z. Dippé,1
Mark A.Z. Dippé,1
Mark A.Z. Dippé,1
Mark Columbus,1
Mark Craig,1
Mark Dindal,1
Mark Franchetti,1
Mark Harris,1
Mark Helenowski,1
Mark Henn,1
Mark Herman,1
Mark Landre Gould,1
Mark Lewis,1
Mark Murphy,1
Mark Neveldine,1
Mark O'Connor,1
Mark Osborne,1
Mark Osborne,1
Mark Palansky,1
Mark Palansky,1
Mark Radice,1
Mark Raso,1
Mark Risley,1
Mark Ritchie,1
Mark Sloper,1
Mark Steven Johnson,1
Mark Steven Johnson,1
Mark Thornton,1
Mark Thornton,1
Mark Tonderai,1
Mark Tonderai,1
Mark Waters,1
Mark Williams,1
Mark Zwonitzer,1
Marla M. Ancheta,1
Marlene Melchior,1
Maroun Baghdadi,1
Maroun Baghdadi,1
Maroun Baghdadi,1
Maroun Baghdadi,1
Marston Sawyers,1
Marta Jaenes,1
Martha Coolidge,1
Marti Noxon,1
Martin Campbell,1
Martin Campbell,1
Martin Campbell,1
Martin Campbell,1
Martin Desmond Roe,1
Martin Gorst,1
Martin Gorst,1
Martin Hodara,1
Martin Lawrence,1
Martin Rosete,1
Martin Scorsese,1
Martin Scorsese,1
Martin Scorsese,1
Martin Scorsese,1
Martin Scorsese,1
Martin Scorsese,1
Martin Scorsese,1
Martin Scorsese,1
Martin Scorsese,1
Martin Scorsese,1
Martin Scorsese,1
Martin Wood,1
Martin Zandvliet,1
Marty Callner,1
Marty Stalker,1
Martín Sastre,1
Marwan Hamed,1
Mary Harron,1
Mary Mazzio,1
Maryo J. De los Reyes,1
Maryo J. De los Reyes,1
María Jose Cuevas,1
Masaaki Yuasa,1
Masaaki Yuasa,1
Masahiko Murata,1
Masahiko Murata,1
Masaru Matsumoto,1
Masaru Matsumoto,1
Massy Tadjedin,1
Mastan Alibhai Burmawalla,1
Mastan Alibhai Burmawalla,1
Mastan Alibhai Burmawalla,1
Mastan Alibhai Burmawalla,1
Mastan Alibhai Burmawalla,1
Mat King,1
Mat Whitecross,1
Matei Dima,1
Mateo Gil,1
Mateo Gil,1
Matheus Souza,1
Mathew Orzel,1
Mathias Malzieu,1
Mathieu Auvray,1
Mathieu Kassovitz,1
Mati Diop,1
Matias Mariani,1
Matt Angel,1
Matt Askem,1
Matt Askem,1
Matt Askem,1
Matt Askem,1
Matt Askem,1
Matt Askem,1
Matt Bell,1
Matt D'Avella,1
Matt D'Elia,1
Matt Eskandari,1
Matt Kay,1
Matt Kugelman,1
Matt Kugelman,1
Matt Palmer,1
Matt Piedmont,1
Matt Reeves,1
Matt Shakman,1
Matt Toronto,1
Matt Tyrnauer,1
Matt Wechsler,1
Matt Whitlock,1
Matthew Atkinson,1
Matthew Cooke,1
Matthew Hope,1
Matthew McManus,1
Matthew McNeil,1
Matthew Michael Carnahan,1
Matthew Miele,1
Matthew Robinson,1
Matthew Ross,1
Matthew Salleh,1
Matthew Shoychet,1
Matthew Vaughn,1
Matthias Hoene,1
Matías Bize,1
Matías Gueilburt,1
Matías Gueilburt,1
Matías Gueilburt,1
Mauro Scandolari,1
Max Amini,1
Max Joseph,1
Max Lang,1
Max Martini,1
Max McGill,1
Max Pugh,1
Maximilian Erlenwein,1
Maxwell McGuire,1
Maya Forbes,1
Maya Gallus,1
Maya Zinshtein,1
Maz Jobrani,1
Maïmouna Doucouré,1
Maïwenn,1
McG,1
McG,1
McG,1
McG,1
McG,1
McG,1
Meenu Gaur,1
Megan Siler,1
Megha Ramaswamy,1
Meghan O'Hara,1
Mehdi Idir,1
Mehmet Ada Öztekin,1
Meisa Felaroze,1
Mel Smith,1
Mel Stuart,1
Melinda Janko,1
Meltem Bozoflu,1
Meng Hua Ho,1
Merawi Gerima,1
Mercedes Cordova,1
Meshal Aljaser,1
Mez Tharatorn,1
Mez Tharatorn,1
Mfanelo Ngoma,1
Micah Bickham,1
Michael A. Nickles,1
Michael Anderson,1
Michael Apted,1
Michael Arias,1
Michael Barnett,1
Michael Barrett,1
Michael Bay,1
Michael Bay,1
Michael Bay,1
Michael Blieden,1
Michael Bonfiglio,1
Michael Buster,1
Michael Cristofer,1
Michael Cuesta,1
Michael Cuesta,1
Michael Cumming,1
Michael Curtiz,1
Michael D. Black,1
Michael D. Black,1
Michael Damian,1
Michael Damian,1
Michael Del Monte,1
Michael Doneger,1
Michael Dowse,1
Michael Dowse,1
Michael Dowse,1
Michael Drumm,1
Michael Drumm,1
Michael Duggan,1
Michael Epstein,1
Michael Fahey,1
Michael Feifer,1
Michael Fimognari,1
Michael G. Kehoe,1
Michael Gallagher,1
Michael Goguen,1
Michael Goguen,1
Michael Govier,1
Michael J. Bassett,1
Michael J. Bassett,1
Michael James Regan,1
Michael John Warren,1
Michael Jones,1
Michael Kampa,1
Michael Kennedy,1
Michael Larnell,1
Michael Lennox,1
Michael M. Scott,1
Michael Margolis,1
Michael Mason,1
Michael Mayer,1
Michael Mazzola,1
Michael McKay,1
Michael McKay,1
Michael McKay,1
Michael McKay,1
Michael McNamara,1
Michael Patrick King,1
Michael Patrick King,1
Michael Paul Stephenson,1
Michael Petroni,1
Michael Pitiot,1
Michael Polish,1
Michael Pressman,1
Michael Radford,1
Michael Roberts,1
Michael Samuels,1
Michael Schmitt,1
Michael Seater,1
Michael Showalter,1
Michael Showalter,1
Michael Simon,1
Michael Simon,1
Michael Simon,1
Michael Simon,1
Michael Simon,1
Michael Socha,1
Michael Steed,1
Michael Steiner,1
Michael Thelin,1
Michael Tiddes,1
Michael Tiddes,1
Michael Tiddes,1
Michael Tolajian,1
Michael Ware,1
Michael Wech,1
Michael Whitton,1
Michael Winnick,1
Michael Winterbottom,1
Michał Tylka,1
Michel Gondry,1
Michel Hazanavicius,1
Michel Tikhomiroff,1
Michelle Caputo,1
Michelle Esrick,1
Michelle Johnston,1
Michèle Ohayon,1
Michèle Ohayon,1
Mick Grogan,1
Mickey Fonseca,1
Mickey Liddell,1
Midhun Manuel Thomas,1
Miguel Arteta,1
Miguel Cohan,1
Miguel Cohan,1
Miguel Conde,1
Miguel Ángel Lamata,1
Miguel Ángel Vivas,1
Mijke de Jong,1
Mike Binder,1
Mike Birbiglia,1
Mike Birbiglia,1
Mike Clattenburg,1
Mike Clattenburg,1
Mike Clattenburg,1
Mike Clattenburg,1
Mike Clattenburg,1
Mike Disa,1
Mike Diva,1
Mike Doyle,1
Mike Elliott,1
Mike Ezuruonye,1
Mike Fetterly,1
Mike Flanagan,1
Mike Flanagan,1
Mike Flanagan,1
Mike Fleiss,1
Mike Gabriel,1
Mike Gunther,1
Mike Gunther,1
Mike Gunther,1
Mike Judge,1
Mike McCoy,1
Mike Mills,1
Mike Myhre,1
Mike Newell,1
Mike Newell,1
Mike Newell,1
Mike Newell,1
Mike Nicoll,1
Mike Rohl,1
Mike Rossiter,1
Mike Smith,1
Mike Smith,1
Mike Smith,1
Mike Smith,1
Mike Smith,1
Mike Wiluan,1
Mikhail Red,1
Mikhail Red,1
Mikhail Red,1
Mikhil Musale,1
Mikhil Musale,1
Milan Luthria,1
Milan Luthria,1
Milind Dhaimade,1
Milind Rau,1
Milla Harrison-Hansley,1
Milton Horowitz,1
Mimi Leder,1
Mina Shum,1
Mir Mukarram Hossain,1
Mir-Jean Bou Chaaya,1
Miranda de Pencier,1
Miriam Chandy Menacherry,1
Mitch Dickman,1
Mitch Gould,1
Mitch Schauer,1
Mitch Schauer,1
Mitzi Vanessa Arreola,1
Moataz El Tony,1
Mohamed Diab,1
Mohamed Hamdy,1
Mohamed Hamdy,1
Mohamed Hamdy,1
Mohamed Khan,1
Mohamed Mostafa,1
Mohamed Samy,1
Mohamed Samy,1
Mohamed Samy,1
Mohamed Yassin,1
Mohamed al Salman,1
Mohammad Adel,1
Mohammed Alhmly,1
Mohammed El-Tahawy,1
Mohammed Hussain,1
Mohammed Saeed Harib,1
Mohd Khairul Azri Bin Md Noor,1
Mohit Suri,1
Mohit Suri,1
Mohsin Ali,1
Moinak Biswas,1
Momoko Kamiya,1
Momoko Kamiya,1
Momoko Kamiya,1
Monica Floyd,1
Monika Mitchell,1
Monique Gardenberg,1
Monière,1
Morgan Matthews,1
Morgan Neville,1
Morgan Neville,1
Morgan Neville,1
Morgan Pehme,1
Morgan Spurlock,1
Morgan Spurlock,1
Moses Inwang,1
Moses Inwang,1
Moses Inwang,1
Mostafa Abu Seif,1
Moto Sakakibara,1
Motonori Sakakibara,1
Mozez Singh,1
Mrighdeep Singh Lamba,1
Mu Chu,1
Muh Chen,1
Muhammad Ali,1
Muhammad Fadl,1
Muharrem Gülmez,1
Mukesh Vohra,1
Mukul Anand,1
Mukul Anand,1
Munish Bhardwaj,1
Munjal Shroff,1
Munjal Shroff,1
Munjal Shroff,1
Murat Kepez,1
Musing Derrick,1
Musthafa,1
Myles Kane,1
Myriam Aziza,1
Mysskin,1
Mysskin,1
Måns Herngren,1
Måns Mårlind,1
Müfit Can Saçıntı,1
N. Chandra,1
N. Linguswamy,1
N. Linguswamy,1
N.D. Wilson,1
Na Hyeon,1
Nabil Ayouch,1
Nacho G. Velilla,1
Nadia Hallgren,1
Nadia Hallgren,1
Nag Ashwin,1
Nagesh Kukunoor,1
Nagesh Kukunoor,1
Nagesh Kukunoor,1
Nagesh Kukunoor,1
Nagraj Manjule,1
Nagraj Manjule,1
Nakul Singh Sawhney,1
Nalan Kumarasamy,1
Nam Ron,1
Naman Nitin Mukesh,1
Namcito,1
Nana Ekvtimishvili,1
Nancy Florence Savard,1
Nancy Meyers,1
Nancy Schwartzman,1
Nandita Das,1
Nanette Burstein,1
Nanfu Wang,1
Naoko Yamada,1
Naoko Yamada,1
Naoto Amazutsumi,1
Narendra Nath,1
Natalia Garagiola,1
Natalia Valdebenito,1
Natalie Portman,1
Natasha Lyonne,1
Nate Adams,1
Nate Adams,1
Nate Adams,1
Nathan Greno,1
Nathan Ives,1
Nathan Landeg,1
Nathan Morlando,1
Nathan Wiley,1
Nathanael Wiseman,1
Nathaniel Warsh,1
Nattawut Poonpiriya,1
Navaniat Singh,1
Navaniat Singh,1
Navdeep Singh,1
Navinder Pal Singh,1
Navjot Gulati,1
Navneet Behal,1
Nawapol Thamrongrattanarit,1
Nawapol Thamrongrattanarit,1
Naya Anindita,1
Neal Brennan,1
Neal Brennan,1
Neal Brennan,1
Neeraj Ghaywan,1
Neeraj Pandey,1
Neeraj Pandey,1
Neeraj Pandey,1
Neeraj Udhwani,1
Neeraj Vora,1
Neil Armfield,1
Neil Jordan,1
Neil Jordan,1
Neil LaBute,1
Neil Rawles,1
Neil Triffett,1
Neill Blomkamp,1
Nekfeu,1
Nelson McCormick,1
Neslihan Yesilyurt,1
Neville Shah,1
Ng Ka-Leung,1
Nguyen Thanh Tung,1
Nia Dinata,1
Nia Dinata,1
Niall Johnson,1
Nic Mathieu,1
Nicanor Loreti,1
Nicholas Hytner,1
Nicholas Kharkongor,1
Nicholas Kharkongor,1
Nicholas McCarthy,1
Nicholas Ray,1
Nicholas Stoller,1
Nicholas Winter,1
Nicholas Zeig-Owens,1
Nicholas de Pencier,1
Nicholaus Goossen,1
Nick Broomfield,1
Nick Broomfield,1
Nick Cassavetes,1
Nick Davis,1
Nick Gomez,1
Nick Mead,1
Nick Simon,1
Nicky Slimting Walker,1
Nicolas Brossette,1
Nicolas Cotto,1
Nicolas Lopez,1
Nicolas Pesce,1
Nicolas Pesce,1
Nicolas Winding Refn,1
Nicole Holofcener,1
Nicolás López,1
Nicolás López,1
Nicolás Silbert,1
Nidhi Sharma,1
Nik Amir Mustapha,1
Nikhil Advani,1
Nikhil Advani,1
Nikhil Nagesh Bhat,1
Nikkhil Advani,1
Nila Madhab Panda,1
Nila Madhab Panda,1
Nila Madhab Panda,1
Nils Tavernier,1
Nimród Antal,1
Nina Paley,1
Nina Wels,1
Nirpal Bhogal,1
Nishanth Ravindaran,1
Nisheeta Keni,1
Nishikant Kamat,1
Nishikant Kamat,1
Nishikant Kamat,1
Nishikant Kamat,1
Nishil Sheth,1
Nitesh Tiwari,1
Nitesh Tiwari,1
Niyi Akinmolayan,1
Niyi Akinmolayan,1
Niyi Akinmolayan,1
Niyi Akinmolayan,1
Niyi Akinmolayan,1
Nizar Shafi,1
Noah Baumbach,1
Noah Baumbach,1
Noah Baumbach,1
Noah Baumbach,1
Noah Baumbach,1
Noah Baumbach,1
Noah Baumbach,1
Noah Moskin,1
Noam Murro,1
Noam Murro,1
Nobuyuki Takeuchi,1
Noel Dockstader,1
Nonzee Nimibutr,1
Noor Imran Mithu,1
Nopparoj Chotmunkongsit,1
Nora Ephron,1
Nora Fingscheidt,1
Nora Twomey,1
Norberto López Amado,1
Norihisa Hiranuma,1
Noriyuki Abe,1
Noriyuki Abe,1
Noriyuki Abe,1
Norm Hiscock,1
Norman Jewison,1
Norman Jewison,1
Norton Virgien,1
Note Chern-Yim,1
Note Chern-Yim,1
Note Chern-Yim,1
Nottapon Boonprakob,1
Noushad,1
Noël Wells,1
Nuel Naval,1
Nuhash Humayun,1
Numa Perrier,1
Nzingha Stewart,1
Néstor Sánchez Sotelo,1
Obaid Alhmoudi,1
Obi Emelonye,1
Obi Emelonye,1
Obi Emelonye,1
Oded Raz,1
Odunlade Adekola,1
Ofir Raul Graizer,1
Ola Flyum,1
Olaf de Fleur,1
Olav Njaastad,1
Ole Bornedal,1
Oliver Blackburn,1
Oliver Bokelberg,1
Oliver Daly,1
Oliver Frampton,1
Oliver Kienle,1
Oliver Schmitz,1
Oliver Stone,1
Oliver Stone,1
Oliver Stone,1
Oliver Stone,1
Oliver Twinch,1
Oliver Twinch,1
Olivia M. Lamasan,1
Olivia M. Lamasan,1
Olivia M. Lamasan,1
Olivia Milch,1
Olivia Newman,1
Olivier Abbou,1
Olivier Afonso,1
Olivier Assayas,1
Olivier Assayas,1
Olivier Assayas,1
Olivier Jean-Marie,1
Olivier Loustau,1
Olivier Marchal,1
Olivier Marchal,1
Olivier Megaton,1
Olivier Roland,1
Olly Reid,1
Oluseyi Asurf,1
Oluseyi Asurf,1
Omoni Oboli,1
Omoni Oboli,1
Omoni Oboli,1
Omoni Oboli,1
Omoni Oboli,1
Omoni Oboli,1
Omoni Oboli,1
Omung Kumar,1
Onir,1
Onir,1
Onir,1
Onur Bilgetay,1
Onur Tukel,1
Onur Ünlü,1
Oren Peli,1
Oren Uziel,1
Oriol Paulo,1
Orlando von Einsiedel,1
Orlando von Einsiedel,1
Orlando von Einsiedel,1
Orson Welles,1
Oscar Micheaux,1
Osgood Perkins,1
Osgood Perkins,1
Oskar Santos,1
